index,year,image,name,inducted_members,prior_nominations,induction_presenter,artist,image_url,artist_url
27,1988,,The Drifters,"Ben E. King, Rudy Lewis, Clyde McPhatter, Johnny Moore, Bill Pinkney, Charlie Thomas, and Gerhart Thrasher.[15]",1 (1986),Billy Joel,The Drifters,/wiki/File:The_Drifters.png,/wiki/The_Drifters
28,1988,,Bob Dylan,,First nomination; First year of eligibility,Bruce Springsteen,Bob Dylan,/wiki/File:Bob_Dylan_1984_Barcelona.jpg,/wiki/Bob_Dylan
29,1988,,The Supremes,"Florence Ballard, Diana Ross, and Mary Wilson.[16]",1 (1987),Little Richard,The Supremes,/wiki/File:The_Supremes_1966.JPG,/wiki/The_Supremes
30,1989,,Dion,,"3 (1986, 1987, 1988)",Lou Reed,Dion,/wiki/File:DionDiMucci.jpg,/wiki/Dion_DiMucci
31,1989,,Otis Redding,,First nomination,Little Richard,Otis Redding,/wiki/File:Otis_Redding_(2).png,/wiki/Otis_Redding
32,1989,,The Rolling Stones,"Mick Jagger, Brian Jones, Keith Richards, Ian Stewart, Mick Taylor, Charlie Watts, Ronnie Wood, and Bill Wyman.[17]",First nomination; First year of eligibility,Pete Townshend,The Rolling Stones,"/wiki/File:Rolling_Stones_in_Beverly_Hills,_1965.jpg",/wiki/The_Rolling_Stones
33,1989,,The Temptations,"Melvin Franklin, Eddie Kendricks, David Ruffin, Otis Williams, Paul Williams, and Dennis Edwards.[18]",First nomination,Daryl Hall and John Oates,The Temptations,/wiki/File:The-Temptations_(1964_publicity_photo_by_Kriegsmann).jpg,/wiki/The_Temptations
34,1989,,Stevie Wonder,,First nomination,Paul Simon,Stevie Wonder,/wiki/File:Stevie_Wonder_1973.JPG,/wiki/Stevie_Wonder
36,1990,,Hank Ballard,,"4 (1986, 1987, 1988, 1989)",Boz Scaggs,Hank Ballard,/wiki/File:Hank-Ballard.jpg,/wiki/Hank_Ballard
37,1990,,Bobby Darin,,"4 (1986, 1987, 1988, 1989)",Paul Anka,Bobby Darin,/wiki/File:Bobby_Darin_1959.JPG,/wiki/Bobby_Darin
38,1990,,The Four Seasons,"Tom DeVito, Bob Gaudio, Nick Massi, and Frankie Valli.[19]","2 (1988, 1989)",Bob Crewe,The Four Seasons,/wiki/File:The_4_Seasons_(1966).png,/wiki/The_Four_Seasons_(band)
